,weight,birthDate,height,foot,shortName,currentNationalTeamId,passportArea.name,passportArea.alpha3code,role.code2,role.code3,role.name,birthArea.name,birthArea.alpha2code,age_2018
0,78,1989-06-17,187,right,H. Tekin,4687.0,Turkey,TUR,GK,GKP,Goalkeeper,Turkey,TR,29
1,73,1999-01-23,182,left,M. Sarr,4423.0,Senegal,SEN,DF,DEF,Defender,France,FR,19
2,72,1998-10-26,176,,O. Mandanda,,France,FRA,GK,GKP,Goalkeeper,France,FR,20
3,82,1990-03-06,187,right,A. N'Diaye,19314.0,Senegal,SEN,MD,MID,Midfielder,France,FR,28
4,84,1999-05-25,192,right,I. Konaté,,France,FRA,DF,DEF,Defender,France,FR,19
5,83,1989-04-22,185,right,J. Cillessen,664.0,Netherlands,NLD,GK,GKP,Goalkeeper,Netherlands,NL,29
6,91,1989-03-02,187,right,T. Alderweireld,5629.0,Belgium,BEL,DF,DEF,Defender,Belgium,BE,29
7,88,1987-04-24,189,left,J. Vertonghen,5629.0,Belgium,BEL,DF,DEF,Defender,Belgium,BE,31
8,74,1994-08-09,182,right,A. Djiku,,France,FRA,DF,DEF,Defender,France,FR,24
9,76,1992-02-14,180,right,C. Eriksen,7712.0,Denmark,DNK,MD,MID,Midfielder,Denmark,DK,26
10,74,1994-03-17,177,right,M. Sabitzer,,Austria,AUT,MD,MID,Midfielder,Austria,AT,24
11,84,1990-03-14,186,right,K. Sigþórsson,,Iceland,ISL,FW,FWD,Forward,Iceland,IS,28
12,74,1992-01-01,180,left,C. Traoré,,France,FRA,DF,DEF,Defender,Mali,ML,26
13,75,1985-09-29,183,left,N. Moisander,4849.0,Finland,FIN,DF,DEF,Defender,Finland,FI,33
14,77,1990-10-27,186,left,J. Guðmunds­son,7839.0,Iceland,ISL,MD,MID,Midfielder,Iceland,IS,28
15,83,1987-01-04,194,right,P. Tytoń,,Poland,POL,GK,GKP,Goalkeeper,Poland,PL,31
16,85,1987-05-20,191,right,Marcelo,,Brazil,BRA,DF,DEF,Defender,Brazil,BR,31
17,78,1993-12-19,186,left,Ali Adnan,17759.0,Iraq,IRQ,DF,DEF,Defender,Iraq,IQ,25
18,78,1990-02-13,186,left,K. Strootman,,Netherlands,NLD,MD,MID,Midfielder,Netherlands,NL,28
19,78,1994-02-13,176,right,M. Depay,664.0,Ghana,GHA,FW,FWD,Forward,Netherlands,NL,24
20,61,1987-05-06,169,right,D. Mertens,5629.0,Belgium,BEL,FW,FWD,Forward,Belgium,BE,31
21,78,1986-07-03,192,right,O. Toivonen,7047.0,Sweden,SWE,FW,FWD,Forward,Sweden,SE,32
22,78,1992-02-05,189,right,S. de Vrij,,Netherlands,NLD,DF,DEF,Defender,Netherlands,NL,26
23,78,1985-01-27,179,right,K. El Ahmadi,16216.0,Morocco,MAR,MD,MID,Midfielder,Netherlands,NL,33
24,79,1992-04-15,185,right,J. Guidetti,7047.0,Sweden,SWE,FW,FWD,Forward,Sweden,SE,26
25,86,1988-08-11,192,right,V. Babacan,4687.0,Turkey,TUR,GK,GKP,Goalkeeper,Turkey,TR,30
26,78,1991-07-10,188,right,J. Gouweleeuw,,Netherlands,NLD,DF,DEF,Defender,Netherlands,NL,27
27,72,1992-01-30,181,right,F. Đuričić,,Serbia,SRB,MD,MID,Midfielder,Serbia,RS,26
28,70,1986-10-30,176,right,P. Pekarík,14496.0,Slovakia,SVK,DF,DEF,Defender,Slovakia,SK,32
29,93,1988-06-10,195,left,J. Vuković,,Serbia,SRB,DF,DEF,Defender,Serbia,RS,30
30,77,1987-03-31,178,right,N. Amrabat,16216.0,Morocco,MAR,FW,FWD,Forward,Netherlands,NL,31
31,71,1988-11-20,175,right,R. Rosales,,Venezuela,VEN,DF,DEF,Defender,Venezuela,VE,30
32,80,1989-08-02,187,right,N. Chadli,5629.0,Morocco,MAR,MD,MID,Midfielder,Belgium,BE,29
33,76,1994-06-05,183,left,R. Gosens,,Netherlands,NLD,DF,DEF,Defender,Germany,DE,24
34,78,1991-09-11,188,right,Y. Bammou,,Morocco,MAR,FW,FWD,Forward,France,FR,27
35,86,1995-02-03,193,left,F. Le Joncour,,France,FRA,DF,DEF,Defender,France,FR,23
36,78,1992-02-16,182,right,André Ramalho,,Brazil,BRA,DF,DEF,Defender,Brazil,BR,26
37,69,1999-01-04,180,left,D. Borsellini,,Italy,ITA,GK,GKP,Goalkeeper,Italy,IT,19
38,81,1988-06-28,190,right,L. Balogun,16823.0,Nigeria,NGA,DF,DEF,Defender,Germany,DE,30
39,70,1996-06-07,175,right,G. Donsah,17527.0,Ghana,GHA,MD,MID,Midfielder,Ghana,GH,22
40,82,1991-06-29,190,right,Suk Hyun-Jun,,Korea Republic,KOR,FW,FWD,Forward,Korea Republic,KR,27
41,91,1989-08-21,191,right,C. Benschop,18138.0,Curaçao,CUW,FW,FWD,Forward,Cura\u00e7ao,CW,29
42,76,1988-11-20,181,left,D. Tadić,17322.0,Serbia,SRB,MD,MID,Midfielder,Serbia,RS,30
43,80,1990-05-04,190,left,B. Nuytinck,,Netherlands,NLD,DF,DEF,Defender,Netherlands,NL,28
44,78,1986-05-27,177,right,L. Schöne,7712.0,Denmark,DNK,MD,MID,Midfielder,Denmark,DK,32
45,56,1998-11-14,166,left,A. Jallow,,Gambia,GMB,MD,MID,Midfielder,Gambia,GM,20
46,75,1987-06-28,183,right,B. Stancu,,Romania,ROU,FW,FWD,Forward,Romania,RO,31
47,90,1997-12-06,194,right,G. Kobel,,Switzerland,CHE,GK,GKP,Goalkeeper,Switzerland,CH,21
48,80,1996-11-20,191,right,D. Zakaria,6697.0,Congo DR,COD,MD,MID,Midfielder,Switzerland,CH,22
49,76,1991-03-29,185,right,M. de Roon,,Netherlands,NLD,MD,MID,Midfielder,Netherlands,NL,27
50,75,1996-05-03,180,right,A. Iwobi,16823.0,England,XEN,MD,MID,Midfielder,Nigeria,NG,22
51,77,1996-06-19,186,right,L. Pellegrini,3757.0,Italy,ITA,MD,MID,Midfielder,Italy,IT,22
52,75,1996-02-15,183,left,M. Fares,,Algeria,DZA,FW,FWD,Forward,France,FR,22
53,73,1994-05-04,176,right,Otávio,,Brazil,BRA,MD,MID,Midfielder,Brazil,BR,24
54,72,1996-01-17,180,right,H. Toledo,,Argentina,ARG,FW,FWD,Forward,Argentina,AR,22
55,78,1988-08-24,189,right,M. Yoshida,12913.0,Japan,JPN,DF,DEF,Defender,Japan,JP,30
56,78,1997-08-05,189,right,B. Passi,,Congo,COG,DF,DEF,Defender,France,FR,21
57,70,1997-07-01,184,right,A. Caci,,France,FRA,MD,MID,Midfielder,France,FR,21
58,77,1990-07-12,182,right,Guerrero,,Spain,ESP,FW,FWD,Forward,Spain,ES,28
59,75,1994-02-09,180,left,R. Mazáň,14496.0,Slovakia,SVK,DF,DEF,Defender,Slovakia,SK,24
60,71,1997-03-04,183,right,M. Terrier,4425.0,France,FRA,FW,FWD,Forward,France,FR,21
61,75,1997-05-05,184,right,T. Efouba Ayissi,,France,FRA,DF,DEF,Defender,Cameroon,CM,21
62,72,1995-12-16,187,right,T. Ebuehi,16823.0,Nigeria,NGA,DF,DEF,Defender,Netherlands,NL,23
63,65,1996-04-11,170,right,P. Burner,,France,FRA,DF,DEF,Defender,Martinique,MQ,22
64,64,1996-08-14,168,right,S. Grandsir,4425.0,France,FRA,FW,FWD,Forward,France,FR,22
66,77,1994-12-18,187,left,Gumbau,,Spain,ESP,MD,MID,Midfielder,Spain,ES,24
67,68,1997-07-12,173,right,Pablo Maffeo,1604.0,Spain,ESP,DF,DEF,Defender,Spain,ES,21
68,78,1987-11-04,189,right,A. Jędrzejczyk,13869.0,Poland,POL,DF,DEF,Defender,Poland,PL,31
69,75,1989-08-19,173,left,M. Rybus,13869.0,Poland,POL,DF,DEF,Defender,Poland,PL,29
70,82,1992-01-15,192,left,M. Kamiński,,Poland,POL,DF,DEF,Defender,Poland,PL,26
71,76,1992-03-17,188,right,K. Onisiwo,,Austria,AUT,MD,MID,Midfielder,Austria,AT,26
72,81,1988-01-13,183,left,A. Rudņevs,,Russia,RUS,FW,FWD,Forward,Latvia,LV,30
73,83,1991-05-05,190,right,Ł. Skorupski,,Poland,POL,GK,GKP,Goalkeeper,Poland,PL,27
74,76,1990-02-13,184,right,P. Olkowski,,Poland,POL,DF,DEF,Defender,Poland,PL,28
75,78,1994-02-28,186,left,A. Milik,13869.0,Poland,POL,FW,FWD,Forward,Poland,PL,24
76,72,1987-04-21,178,right,P. Nakoulma,,Burkina Faso,BFA,FW,FWD,Forward,Burkina Faso,BF,31
77,76,1981-03-25,183,left,G. Pegolo,,Italy,ITA,GK,GKP,Goalkeeper,Italy,IT,37
78,72,1995-05-12,183,right,M. Stępiński,,Poland,POL,FW,FWD,Forward,Poland,PL,23
79,89,1996-09-17,192,right,D. Ćaleta-Car,9598.0,Croatia,HRV,DF,DEF,Defender,Croatia,HR,22
80,92,1996-06-01,192,right,E. Gertmonas,13503.0,Lithuania,LTU,GK,GKP,Goalkeeper,Lithuania,LT,22
81,74,1989-05-10,183,left,H. Milić,,Croatia,HRV,DF,DEF,Defender,Croatia,HR,29
82,70,1997-04-08,194,right,J. Klinsmann,8140.0,Germany,DEU,GK,GKP,Goalkeeper,United States,US,21
83,80,1994-08-03,190,right,F. Vicari,,Italy,ITA,DF,DEF,Defender,Italy,IT,24
84,70,1994-07-01,183,right,A. Ferrari,,Italy,ITA,DF,DEF,Defender,Italy,IT,24
85,88,1993-05-10,194,right,E. Berggreen,,Croatia,HRV,FW,FWD,Forward,Denmark,DK,25
86,88,1985-05-30,189,right,I. Lewczuk,,Poland,POL,DF,DEF,Defender,Poland,PL,33
87,76,1996-04-16,182,left,C. Keita,19001.0,Mali,MLI,DF,DEF,Defender,France,FR,22
88,69,1995-04-14,182,right,Carlos Calderón,,Spain,ESP,MD,MID,Midfielder,Spain,ES,23
89,80,1986-04-21,183,right,T. Cionek,13869.0,Poland,POL,DF,DEF,Defender,Brazil,BR,32
90,73,1997-06-25,185,right,R. Bentancur,15670.0,Uruguay,URY,MD,MID,Midfielder,Uruguay,UY,21
91,76,1995-05-14,186,left,Bernardo,,Brazil,BRA,DF,DEF,Defender,Brazil,BR,23
92,81,1987-10-26,190,right,R. Gikiewicz,,Poland,POL,GK,GKP,Goalkeeper,Poland,PL,31
93,85,1995-08-01,190,right,A. Deiola,,Italy,ITA,MD,MID,Midfielder,Italy,IT,23
94,73,1996-10-27,180,right,N. Amiri,3155.0,Afghanistan,AFG,MD,MID,Midfielder,Germany,DE,22
95,78,1995-01-24,183,right,Yeray,,Spain,ESP,DF,DEF,Defender,Spain,ES,23
96,73,1993-05-04,180,right,Lekue,,Spain,ESP,DF,DEF,Defender,Spain,ES,25
97,84,1989-01-10,193,right,Ali Gabr,16129.0,Egypt,EGY,DF,DEF,Defender,Egypt,EG,29
98,70,1993-02-20,177,right,Pere Pons,,Spain,ESP,MD,MID,Midfielder,Spain,ES,25
99,65,1993-01-20,169,left,Fede Cartabia,,Italy,ITA,MD,MID,Midfielder,Argentina,AR,25
100,77,1992-07-12,183,right,B. Bereszyński,13869.0,Poland,POL,DF,DEF,Defender,Poland,PL,26
101,81,1983-04-01,183,right,Ó. Skúlason,7839.0,Iceland,ISL,MD,MID,Midfielder,Iceland,IS,35
